X,Y,GID,Extern ID,Straat,Plaats,Categorie,Subcategori,Status,Uitv.datum,Uitv.tijd,Verw.tijd
6.12550998973521,52.2147312484187,15614,,,,Watergeven 2026,,niet verwerkt,,,0
6.07485585334251,52.2383487371041,15615,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.07461104562818,52.2384081153766,15616,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.25499792027933,52.0064772145907,15617,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.25485668092726,52.0065145978076,15618,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.28018458211794,52.0016646676915,15619,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.2800223084722,52.001675400954,15620,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.2803508790772,52.0016531087906,15621,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.28054131591755,52.0016448524309,15622,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.28089131923814,52.0016310053738,15623,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.28105761619721,52.0016285284648,15624,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.28121854873827,52.0016376104636,15625,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.28134058924856,52.0016532975482,15626,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.28145994754984,52.0016681589916,15627,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.28156991811956,52.0016879742419,15628,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.20504408742809,52.157473214188,15629,,N348,,Watergeven 2026,,niet verwerkt,,,0
6.21996103591377,51.9608714258271,15630,,N815,,Watergeven 2026,,niet verwerkt,,,0
6.21998903727833,51.9607832290224,15631,,N815,,Watergeven 2026,,niet verwerkt,,,0
6.04726484242897,52.2341468089029,15632,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.04384523152623,52.2323115846353,15633,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.04384523390068,52.2323115886749,15634,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
